first_person_rate,album,second_person_rate,lexical_entropy,third_person_rate,repetition_rate,line_end_similarity,song
51.282,ultraviolence,72.65,5.9287,85.47,0.2105,0.5405,ultraviolence_shades_of_cool.txt
0.0,ultraviolence,0.0,5.7799,70.922,0.0476,0.381,ultraviolence_the_other_woman.txt
123.239,ultraviolence,28.169,6.2967,45.775,0.2917,0.4375,ultraviolence_ultraviolence.txt
118.687,ultraviolence,68.182,6.1825,35.354,0.3929,0.6429,ultraviolence_west_coast
51.724,violet_bent_backwards_over_the_grass,30.172,6.8255,17.241,0.0,0.1515,violet_bent_backwards_over_the_grass_bare_feet_on_linoleum
96.154,violet_bent_backwards_over_the_grass,38.462,6.4819,10.989,0.0816,0.3061,violet_bent_backwards_over_the_grass_happy
130.221,violet_bent_backwards_over_the_grass,41.769,7.366,6.143,0.0105,0.3368,violet_bent_backwards_over_the_grass_la_who_am_i_to_love_you
132.716,violet_bent_backwards_over_the_grass,40.123,6.6023,15.432,0.0571,0.2286,violet_bent_backwards_over_the_grass_my_bedroom_is_a_sacred_place_now
67.114,violet_bent_backwards_over_the_grass,20.134,6.7805,3.356,0.0,0.1795,violet_bent_backwards_over_the_grass_never_to_heaven
75.556,violet_bent_backwards_over_the_grass,33.333,7.182,6.667,0.0469,0.2188,violet_bent_backwards_over_the_grass_paradise_is_very_fragile
7.576,violet_bent_backwards_over_the_grass,68.182,6.7773,7.576,0.0345,0.5,violet_bent_backwards_over_the_grass_past_the_bushes_cypress_thriving
83.832,violet_bent_backwards_over_the_grass,35.928,6.5046,5.988,0.0,0.303,violet_bent_backwards_over_the_grass_quiet_waiter_blue_forever
80.169,violet_bent_backwards_over_the_grass,37.975,6.6066,12.658,0.0,0.0476,violet_bent_backwards_over_the_grass_salamander
83.493,violet_bent_backwards_over_the_grass,32.63,7.528,18.234,0.0,0.3596,violet_bent_backwards_over_the_grass_sportcruiser
38.596,violet_bent_backwards_over_the_grass,49.123,7.1781,38.596,0.0,0.1818,violet_bent_backwards_over_the_grass_tessa_dipietro
97.76,violet_bent_backwards_over_the_grass,42.77,7.2288,2.037,0.069,0.3678,violet_bent_backwards_over_the_grass_the_land_of_1000_fires
57.692,violet_bent_backwards_over_the_grass,0.0,6.0204,19.231,0.0,0.1875,violet_bent_backwards_over_the_grass_violet_bent_backwards_over_the_grass
74.627,violet_bent_backwards_over_the_grass,14.925,6.3119,0.0,0.0,0.125,violet_bent_backwards_over_the_grass_what_happened_when_i_left_you
